userbook_id	user_id	book_id	gr_shelf_id	gr_shelf_name	status	source	rating
218	1	218	53719319	to-read	want-to-read	goodreads	0
219	1	219	53719319	to-read	want-to-read	goodreads	0
220	1	220	53719319	to-read	want-to-read	goodreads	0
221	1	221	53719319	to-read	want-to-read	goodreads	0
222	1	222	53719319	to-read	want-to-read	goodreads	0
223	1	223	53719319	to-read	want-to-read	goodreads	0
224	1	224	53719319	to-read	want-to-read	goodreads	0
225	1	225	53719319	to-read	want-to-read	goodreads	0
226	1	226	53719319	to-read	want-to-read	goodreads	0
227	1	227	53719319	to-read	want-to-read	goodreads	0
228	1	228	53719319	to-read	want-to-read	goodreads	0
229	1	229	53719319	to-read	want-to-read	goodreads	0
230	1	230	53719319	to-read	want-to-read	goodreads	0
231	1	231	53719319	to-read	want-to-read	goodreads	0
232	1	232	53719319	to-read	want-to-read	goodreads	0
233	1	233	53719319	to-read	want-to-read	goodreads	0
234	1	234	53719319	to-read	want-to-read	goodreads	0
235	1	235	53719319	to-read	want-to-read	goodreads	0
236	1	236	53719319	to-read	want-to-read	goodreads	0
237	1	237	53719319	to-read	want-to-read	goodreads	0
238	1	238	53719319	to-read	want-to-read	goodreads	0
239	1	239	53719319	to-read	want-to-read	goodreads	0
240	1	240	53719319	to-read	want-to-read	goodreads	0
241	1	241	53719319	to-read	want-to-read	goodreads	0
242	1	242	53719319	to-read	want-to-read	goodreads	0
243	1	243	53719319	to-read	want-to-read	goodreads	0
244	1	244	53719319	to-read	want-to-read	goodreads	0
245	1	245	53719319	to-read	want-to-read	goodreads	0
246	1	246	53719319	to-read	want-to-read	goodreads	0
247	1	247	53719319	to-read	want-to-read	goodreads	0
248	1	248	53719319	to-read	want-to-read	goodreads	0
249	1	249	53719319	to-read	want-to-read	goodreads	0
250	1	250	53719319	to-read	want-to-read	goodreads	0
251	1	251	53719319	to-read	want-to-read	goodreads	0
252	1	252	53719319	to-read	want-to-read	goodreads	0
253	1	253	53719319	to-read	want-to-read	goodreads	0
254	1	254	53719319	to-read	want-to-read	goodreads	0
255	1	255	53719319	to-read	want-to-read	goodreads	0
256	1	256	53719319	to-read	want-to-read	goodreads	0
257	1	257	53719319	to-read	want-to-read	goodreads	0
258	1	258	53719319	to-read	want-to-read	goodreads	0
259	1	259	53719319	to-read	want-to-read	goodreads	0
260	1	260	53719319	to-read	want-to-read	goodreads	0
261	1	261	53719319	to-read	want-to-read	goodreads	0
262	1	262	53719319	to-read	want-to-read	goodreads	0
263	1	263	53719319	to-read	want-to-read	goodreads	0
264	1	264	53719319	to-read	want-to-read	goodreads	0
265	1	265	53719319	to-read	want-to-read	goodreads	0
266	1	266	53719319	to-read	want-to-read	goodreads	0
267	1	267	53719319	to-read	want-to-read	goodreads	0
268	1	268	53719319	to-read	want-to-read	goodreads	0
269	1	269	53719319	to-read	want-to-read	goodreads	0
270	1	270	53719319	to-read	want-to-read	goodreads	0
271	1	271	53719319	to-read	want-to-read	goodreads	0
272	1	272	53719319	to-read	want-to-read	goodreads	0
273	1	273	53719319	to-read	want-to-read	goodreads	0
274	1	274	53719319	to-read	want-to-read	goodreads	0
275	1	275	53719319	to-read	want-to-read	goodreads	0
276	1	276	53719319	to-read	want-to-read	goodreads	0
277	1	277	53719319	to-read	want-to-read	goodreads	0
278	1	278	53719319	to-read	want-to-read	goodreads	0
279	1	279	53719319	to-read	want-to-read	goodreads	0
280	1	280	53719319	to-read	want-to-read	goodreads	0
281	1	281	53719319	to-read	want-to-read	goodreads	0
282	1	282	53719319	to-read	want-to-read	goodreads	0
283	1	283	53719319	to-read	want-to-read	goodreads	0
284	1	284	53719319	to-read	want-to-read	goodreads	0
285	1	285	53719319	to-read	want-to-read	goodreads	0
